pitch_pk,pitcher,player_name,pitch_type,pitch_name,game_year,description,game_date,inning,inning_topbot,outs_when_up,balls,strikes,release_speed,release_spin_rate,release_pos_x,release_pos_z,release_extension,pfx_x,pfx_z,ivb,hb,ivb_abs,hb_abs,spin,expected_movement,movement_total,movement_over_expected,movement_gap,movement_sep,movement_angle,is_good_outcome,nastiness_raw,Nastiness_plus
642207_777682_67_4,642207,"Williams, Devin",CH,Changeup,2025,called_strike,2025-06-01 00:00:00,8,Bot,0,2,1,84.5,2731,-2.67,5.0,7.1,-1.91,-0.11,-1.32,-22.919999999999998,1.32,22.919999999999998,2731,1.3655,22.95797900513022,21.59247900513022,21.59247900513022,25.919999999999998,-176.7038840274537,1,5.688844479241368,135.13090885089574
671106_777861_18_5,671106,"Allen, Logan",ST,Sweeper,2025,swinging_strike,2025-05-19 00:00:00,2,Bot,2,2,2,76.0,2317,2.32,5.26,6.6,-1.87,-0.03,-0.36,-22.44,0.36,22.44,2317,1.1585,22.442887514756208,21.284387514756208,21.284387514756208,26.496000000000002,-179.08089521628577,1,5.686928437138054,135.11072189731664
592155_777805_53_2,592155,"Booser, Cam",FC,Cutter,2025,called_strike,2025-05-23 00:00:00,7,Top,2,1,0,85.7,2214,3.2,5.55,6.6,-0.1,-0.02,-0.24,-1.2000000000000002,0.24,1.2000000000000002,2214,1.107,1.2237646832622686,0.11676468326226863,0.11676468326226863,1.1520000000000001,-168.6900675259798,1,5.684507837465684,135.08521904790894
672282_776652_57_1,672282,"Detmers, Reid",SL,Slider,2025,swinging_strike,2025-08-20 00:00:00,8,Top,2,0,0,90.0,2361,1.63,6.07,6.2,-0.09,-0.03,-0.36,-1.08,0.36,1.08,2361,1.1805,1.1384199576606167,-0.04208004233938345,0.04208004233938345,0.8640000000000001,-161.565051177078,1,5.683234611167305,135.0718046453044
656686_776643_81_3,656686,"Martin, Corbin",CU,Curveball,2025,swinging_strike_blocked,2025-08-22 00:00:00,9,Top,0,0,2,86.9,2641,-2.47,5.98,6.5,-0.03,-0.03,-0.36,-0.36,0.36,0.36,2641,1.3205,0.5091168824543142,-0.8113831175456858,0.8113831175456858,0.0,-135.0,1,5.681085373717754,135.04916080227537
663738_776413_44_1,663738,"Lynch IV, Daniel",SL,Slider,2025,swinging_strike,2025-09-08 00:00:00,5,Bot,0,0,0,85.5,2228,1.33,5.74,6.5,-0.09,-0.03,-0.36,-1.08,0.36,1.08,2228,1.114,1.1384199576606167,0.024419957660616554,0.024419957660616554,0.8640000000000001,-161.565051177078,1,5.679005985771269,135.02725287662173
607455_778326_56_1,607455,"Banda, Anthony",SL,Slider,2025,swinging_strike,2025-04-14 00:00:00,7,Top,0,0,0,87.1,2144,3.05,5.4,6.1,-0.11,-0.01,-0.12,-1.32,0.12,1.32,2144,1.072,1.3254433220624713,0.2534433220624712,0.2534433220624712,1.4400000000000002,-174.8055710922652,1,5.678014468210236,135.01680648875646
669302_776977_33_5,669302,"Gilbert, Logan",SL,Slider,2025,called_strike,2025-07-27 00:00:00,5,Bot,0,3,1,85.4,1695,-0.82,5.76,7.7,-0.09,-0.02,-0.24,-1.08,0.24,1.08,1695,0.8475,1.1063453348751466,0.2588453348751466,0.2588453348751466,1.008,-167.47119229084848,1,5.673163046080208,134.9656930851616
664849_778244_54_2,664849,"Young, Danny",SI,Sinker,2025,called_strike,2025-04-20 00:00:00,7,Top,1,0,1,92.6,2378,3.15,5.22,6.2,2.13,0.2,2.4000000000000004,25.56,2.4000000000000004,25.56,2378,1.189,25.67242879043586,24.48342879043586,24.48342879043586,27.791999999999994,5.36415776233005,1,5.671276938070413,134.94582150991124
571510_777287_30_1,571510,"Boyd, Matthew",SL,Slider,2025,called_strike,2025-07-01 00:00:00,4,Top,2,0,0,82.7,2439,2.84,4.99,6.2,-0.11,-0.02,-0.24,-1.32,0.24,1.32,2439,1.2195,1.3416407864998738,0.12214078649987381,0.12214078649987381,1.296,-169.69515353123398,1,5.669545243081884,134.92757679269644
